,AmazonReview,Response
0,brother robert bed ridden paralyzed multiple sclerosis neck years new friend named alexa tears happiness alexa played music played jeopardy answered questions wakes every morning thank amazon giving brother new bedside companion,Neutral
1,happy holiday,Positive
2,roy,Neutral
3,worked electronics retail industry years ive seen scores smart devices come go nobody quite got right echo dot amazon created near perfect blend hardware software ive seen plenty former truly seamless multi platform software eluded everyone amazon talking major players like samsung google much longer amazon main problem excellent products like samsung smart things hub fantastic job unifying slew different connected devices different companies nest honeywell phillips still lacked web connectivity entertainment support wanted id still end needing tablet phone thanks fantastic third party support dot problem controlling smart stuff allowing listen music order food check weather listen radio set alarms timers easily accomplished simple voice commands exceedingly rare product didnt know needed cant live without similar smartphone tablet use every day didnt exist short years ago,Positive
4,youre even little bit curious owe give dot try add good speaker enjoy simple connected lif,Positive
5,update bit time dot maybe say dots since went bought another one living room ive come tip,Neutral
6,use best speakers found bluetooth convenient got much better sound jbl duet computer speak,Positive
7,take time voice train alexa least kinda tedious really improves accuracy ive gone three trainings dot phrasing gets intricate really amazing much improvement makes kinda hard quantify id guess alexa least twice likely understand long complex phrases also gained noticeable accuracy ambient noise id pres,Positive
8,phrase doesnt yield results youre looking reword try instance alexa lower temperature degrees got result tried alexa honeywell thermostat degrees picked perfectli,Neutral
9,take time look skills theres lot helpful plain fun stuff strange facts calculator everything really helps enhance experi,Positive
10,id never really used prime music prior setting dots cant live without say basically whatever want get result favs far alexa play music alexa play indie music alexa play thunderstorm sounds last one ask repeat plays night really great freebie youre prime memb,Positive
11,bit worried initially alexa might triggered accidentally ambient tv general household noise im really impressed happened twice far times living room watching tv high volume concern mic temporarily disabled dot wont trigger listen accident,Negative
12,ive problem pairing dot variety devices including two different bluetooth speakers galaxy edge pioneer receiver need look time paired phone bluetooth connection speaker lost ended listen built speaker definitely ideal music big deal youre using wired speakers plus bluetooth sets offer auxiliary input wired listen,Neutral
13,fun ask alexa general questions see shes capable finding answers far ive gotten accurate responses alexa whats definition alexa far away alexa wikipedia anything think shell tell ask alexa tell time ask set questions youll quickly get used nu,Positive
14,even though microphones extremely sensitive quite accurate ive found dot works best placed surface thats close level person speaking generally speaking three five feet ground alexa trouble hearing requests dot placed behind youd like place dot higher works much better flush wall instead sitting shelf etc tried setups found couple nails set apart make cradle facing dot towards room works best sorry run sentence lol,Positive
15,suggestions improv,Neutral
16,unlike upcoming google home bt speaker dot alexa devices unable answer general web queries decent job answering factual questions like far away sun id really like see amazon add search funct,Positive
17,amazons fault several news briefing skills update infrequently volume levels vary enough id find constantly changing volume level match,Neutral
18,enabled briefings several outlets like npr bbc ap id suggest pick one two stick otherwise youll news ended going bbc ap brief,Positive
19,dont normally write reviews time recently lost cat best friend cancer days christmas worst day life imagine losing friend thats every breakup every apartment nearly homeless passed felt emptiness hom,Negative
20,days ago searching something put mind ease saw advertisement amazon echo amazon app remember watching mr robot episode fbi agent suffers insomnia using alexa keep entertain,Positive
